conf,ts,HC1,HC2,HC3,HC_OPF,t_opf,consumers,nodes,unc
65043_775431_configuration.json,missing,0.0,0.0,0.0,106.28897261359886,0.11800003051757812,21,4,1
65043_775433_configuration.json,missing,0.0,0.0,0.0,280.76355609301106,0.14800000190734863,120,24,1
65043_775435_configuration.json,missing,0.0,0.0,0.0,0.0,0.0690000057220459,0,1,1
65043_775437_configuration.json,missing,0.0,0.0,0.0,278.42302882175466,0.1399998664855957,106,14,1
65043_775439_configuration.json,missing,0.0,0.0,0.0,0.0,0.12399983406066895,0,1,1
65043_775441_configuration.json,missing,0.0,0.0,0.0,0.0,0.07199978828430176,0,1,1
65043_775443_configuration.json,missing,0.0,0.0,0.0,276.7691919179901,0.14700007438659668,89,25,1
65043_775445_configuration.json,missing,0.0,0.0,0.0,0.0,0.07299995422363281,0,1,1
65079_77883_configuration.json,missing,0.0,0.0,0.0,0.0,0.07299995422363281,0,1,1
65079_77899_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.08999991416931152,1,3,1
65079_77887_configuration.json,missing,0.0,0.0,0.0,178.0292942630583,0.13400006294250488,41,24,1
65079_77889_configuration.json,missing,0.0,0.0,0.0,117.68154464754312,0.14400005340576172,20,14,1
65079_77921_configuration.json,missing,0.0,0.0,0.0,177.21758232327102,0.1230001449584961,28,18,1
65079_77936_configuration.json,missing,0.0,0.0,0.0,0.0,0.14299988746643066,0,1,1
65079_1738338_configuration.json,missing,0.0,0.0,0.0,175.19503082469438,0.125,13,22,1
65079_77940_configuration.json,missing,0.0,0.0,0.0,185.2565735341275,0.16200017929077148,94,37,1
65079_77944_configuration.json,missing,0.0,0.0,0.0,0.0,0.07200002670288086,0,1,1
65079_77893_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.09299993515014648,1,3,1
65079_77964_configuration.json,missing,0.0,0.0,0.0,0.0,0.07700014114379883,0,1,1
65079_77895_configuration.json,missing,0.0,0.0,0.0,135.8238379102116,0.15199995040893555,44,35,1
65079_2035824_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.08899998664855957,1,3,1
65040_74239_configuration.json,missing,0.0,0.0,0.0,276.07095441709373,0.1549999713897705,87,13,1
65040_74234_configuration.json,missing,0.0,0.0,0.0,279.6561804712475,0.21200013160705566,102,21,1
65040_74237_configuration.json,missing,0.0,0.0,0.0,0.0,0.09099984169006348,0,1,1
65040_74253_configuration.json,missing,0.0,0.0,0.0,276.1669420930727,0.14600014686584473,84,13,1
65025_80123_configuration.json,missing,0.0,0.0,0.0,15.000000147493918,0.09800004959106445,1,5,1
65025_80091_configuration.json,missing,0.0,0.0,0.0,185.35838119146177,0.30900001525878906,80,131,1
65025_80069_configuration.json,missing,0.0,0.0,0.0,275.9374909077863,0.16899991035461426,63,38,1
65025_80035_configuration.json,missing,0.0,0.0,0.0,184.99186605294278,0.17599987983703613,71,44,1
65025_80008_configuration.json,missing,0.0,0.0,0.0,185.34140307552477,0.18600010871887207,72,72,1
65025_78226_configuration.json,missing,0.0,0.0,0.0,179.52133259005964,0.22300004959106445,47,38,1
65025_78205_configuration.json,missing,0.0,0.0,0.0,273.26615493183147,0.3410000801086426,55,63,1
65025_78203_configuration.json,missing,0.0,0.0,0.0,191.5263537574062,0.19299983978271484,107,41,1
65082_80172_configuration.json,missing,0.0,0.0,0.0,258.39866543462375,0.14400005340576172,86,16,1
65082_80175_configuration.json,missing,0.0,0.0,0.0,217.9379296143225,0.21000003814697266,56,87,1
65082_80178_configuration.json,missing,0.0,0.0,0.0,184.37392742028172,0.1359999179840088,81,17,1
65082_80180_configuration.json,missing,0.0,0.0,0.0,162.78562452212535,0.13499999046325684,44,6,1
65082_80182_configuration.json,missing,0.0,0.0,0.0,88.70037131169542,0.125,17,10,1
65082_80184_configuration.json,missing,0.0,0.0,0.0,109.07882379330879,0.28799986839294434,176,29,1
65082_80188_configuration.json,missing,0.0,0.0,0.0,277.87613938741976,0.15400004386901855,96,18,1
65082_80190_configuration.json,missing,0.0,0.0,0.0,0.0,0.07599997520446777,0,1,1
65028_84560_configuration.json,missing,0.0,0.0,0.0,132.7161561387761,0.13900017738342285,13,35,1
65028_84562_configuration.json,missing,0.0,0.0,0.0,0.0,0.08599996566772461,0,1,1
65028_84566_configuration.json,missing,0.0,0.0,0.0,197.39380628238868,0.15000009536743164,39,18,1
65028_84569_configuration.json,missing,0.0,0.0,0.0,244.58608645301416,0.28299999237060547,120,130,1
65028_84571_configuration.json,missing,0.0,0.0,0.0,109.51514966483104,0.13099980354309082,18,41,1
65028_84573_configuration.json,missing,0.0,0.0,0.0,0.0,0.07299995422363281,0,1,1
65028_84575_configuration.json,missing,0.0,0.0,0.0,0.0,0.12800002098083496,0,1,1
65028_84579_configuration.json,missing,0.0,0.0,0.0,15.000000147494097,0.10300016403198242,1,3,1
65037_74263_configuration.json,missing,0.0,0.0,0.0,275.297033806875,0.13700008392333984,78,22,1
65037_74272_configuration.json,missing,0.0,0.0,0.0,0.0,0.07200002670288086,0,1,1
65037_74313_configuration.json,missing,0.0,0.0,0.0,165.04875748217825,0.14299988746643066,52,11,1
65037_74315_configuration.json,missing,0.0,0.0,0.0,271.38161526459487,0.14700007438659668,52,18,1
65037_74322_configuration.json,missing,0.0,0.0,0.0,0.0,0.08299994468688965,0,1,1
65037_1423398_configuration.json,missing,0.0,0.0,0.0,149.10263519917572,0.18899989128112793,87,57,1
65037_1423400_configuration.json,missing,0.0,0.0,0.0,204.49693319668125,0.11700010299682617,35,14,1
65037_1423402_configuration.json,missing,0.0,0.0,0.0,0.0,0.0690000057220459,0,1,1
65068_80411_configuration.json,missing,0.0,0.0,0.0,0.0,0.12899994850158691,0,1,1
65068_80413_configuration.json,missing,0.0,0.0,0.0,0.0,0.07899999618530273,0,1,1
65068_80419_configuration.json,missing,0.0,0.0,0.0,174.43577908004826,0.16000008583068848,44,8,1
65068_80425_configuration.json,missing,0.0,0.0,0.0,274.1074782584505,0.13700008392333984,65,17,1
