conf,ts,HC1,HC2,HC3,HC_OPF,t_opf,consumers,nodes,unc
1076069_1274125_configuration.json,59,0.0,0.0,0.0,1110.0000109145476,2.5199999809265137,74,19,19
1076069_1274129_configuration.json,59,0.0,0.0,0.0,165.00000162243253,0.08299994468688965,11,4,19
1076069_1274131_configuration.json,59,0.0,0.0,0.0,330.0000032448652,0.08599996566772461,22,3,19
1076069_2354896_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.0839998722076416,1,3,19
1076069_2354903_configuration.json,59,0.0,0.0,0.0,45.00000044248161,0.08499979972839355,3,11,19
1076109_1251039_configuration.json,57,0.0,0.0,0.0,930.0000091446209,0.10800004005432129,62,14,19
1076109_1251041_configuration.json,59,0.0,0.0,0.0,210.00000206491413,0.08599996566772461,14,9,19
1076109_1251045_configuration.json,45,0.0,0.0,0.0,1935.0000190267117,0.18200016021728516,129,33,19
1076128_1246490_configuration.json,56,0.0,0.0,0.0,735.0000072272003,0.12299990653991699,49,18,19
1076128_1246495_configuration.json,59,0.0,0.0,0.0,750.0000073746942,0.10700011253356934,50,18,19
1076128_1246503_configuration.json,59,0.0,0.0,0.0,0.0,0.07500004768371582,0,6,19
1076128_1246505_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.09800004959106445,1,8,19
1076128_1246507_configuration.json,59,0.0,0.0,0.0,0.0,0.08899998664855957,0,8,19
1076128_1246510_configuration.json,45,0.0,0.0,0.0,1590.0000156343522,0.12399983406066895,106,25,19
1132967_1400848_configuration.json,45,0.0,0.0,0.0,1290.0000126844743,0.13700008392333984,86,50,19
1132967_1400862_configuration.json,59,0.0,0.0,0.0,180.0000017699264,0.11400008201599121,12,35,19
1132967_1400879_configuration.json,59,0.0,0.0,0.0,45.00000044248161,0.1549999713897705,3,7,19
1132967_1400881_configuration.json,59,0.0,0.0,0.0,345.0000033923591,0.10500001907348633,23,6,19
1132967_1400888_configuration.json,59,0.0,0.0,0.0,435.00000427732243,0.10500001907348633,29,6,19
1132967_1400910_configuration.json,45,0.0,0.0,0.0,1200.000011799511,0.13499999046325684,80,27,19
1132967_1400916_configuration.json,59,0.0,0.0,0.0,120.00000117995094,0.11800003051757812,8,31,19
1132967_1400951_configuration.json,59,0.0,0.0,0.0,195.00000191742026,0.127000093460083,13,35,19
1136039_1464991_configuration.json,59,0.0,0.0,0.0,0.0,0.09500002861022949,0,8,19
1136039_1464994_configuration.json,45,0.0,0.0,0.0,1440.0000141594132,0.1939997673034668,96,15,19
1136039_1464997_configuration.json,59,0.0,0.0,0.0,0.0,0.09000015258789062,0,2,19
1136039_1465000_configuration.json,59,0.0,0.0,0.0,690.0000067847186,0.15600013732910156,46,11,19
1136039_1465006_configuration.json,59,0.0,0.0,0.0,30.00000029498774,0.13900017738342285,2,9,19
1136039_1465008_configuration.json,59,0.0,0.0,0.0,0.0,0.10000014305114746,0,2,19
1136042_1440533_configuration.json,59,0.0,0.0,0.0,270.0000026548896,0.13700008392333984,18,12,19
1136042_1440535_configuration.json,59,0.0,0.0,0.0,270.0000026548896,0.14800000190734863,18,13,19
1136042_1440537_configuration.json,45,0.0,0.0,0.0,2295.0000225665613,0.20199990272521973,153,30,19
1136042_1440539_configuration.json,45,0.0,0.0,0.0,885.0000087021392,0.16300010681152344,59,27,19
1136042_1440548_configuration.json,59,0.0,0.0,0.0,45.00000044248161,0.11399984359741211,3,17,19
1136042_1440552_configuration.json,59,0.0,0.0,0.0,0.0,0.0839998722076416,0,4,19
1136056_1450251_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.10100007057189941,1,5,19
1136056_1450254_configuration.json,45,0.0,0.0,0.0,1095.0000107670537,0.13000011444091797,73,23,19
1136056_1450257_configuration.json,59,0.0,0.0,0.0,0.0,0.08500003814697266,0,4,19
1136056_1450260_configuration.json,59,0.0,0.0,0.0,360.00000353985297,0.12199997901916504,24,16,19
1136056_1450263_configuration.json,45,0.0,0.0,0.0,990.0000097345965,0.13300013542175293,66,20,19
1136056_1450269_configuration.json,45,0.0,0.0,0.0,1545.0000151918705,0.13899993896484375,103,25,19
1136056_1450272_configuration.json,59,0.0,0.0,0.0,390.00000383484075,0.18600010871887207,26,6,19
1136065_1450294_configuration.json,45,0.0,0.0,0.0,420.00000412982854,0.1230001449584961,28,14,19
1136065_1450297_configuration.json,57,0.0,0.0,0.0,375.00000368734686,0.10800004005432129,25,10,19
1136065_1450300_configuration.json,57,0.0,0.0,0.0,285.0000028023835,0.10299992561340332,19,10,19
1136065_1450302_configuration.json,45,0.0,0.0,0.0,960.0000094396087,0.14099979400634766,64,41,19
1136065_1450304_configuration.json,45,0.0,0.0,0.0,660.0000064897308,0.18799996376037598,44,108,19
1142831_1465663_configuration.json,45,0.0,0.0,0.0,945.0000092921148,0.17999982833862305,63,103,19
1142831_1465677_configuration.json,59,0.0,0.0,0.0,270.0000026548896,0.13499999046325684,18,54,19
1142831_1465685_configuration.json,59,0.0,0.0,0.0,360.00000353985297,0.10100007057189941,24,6,19
1142831_1465689_configuration.json,59,0.0,0.0,0.0,210.00000206491413,0.16300010681152344,14,3,19
1351982_1596437_configuration.json,59,0.0,0.0,0.0,330.0000032448652,0.10499978065490723,22,10,19
1351982_1596442_configuration.json,59,0.0,0.0,0.0,300.0000029498774,0.10899996757507324,20,15,19
1351982_1596446_configuration.json,59,0.0,0.0,0.0,150.00000147493867,0.12599992752075195,10,39,19
1351982_1596450_configuration.json,57,0.0,0.0,0.0,1185.000011652017,0.14400005340576172,79,36,19
1459343_1931547_configuration.json,59,0.0,0.0,0.0,90.00000088496321,0.11699986457824707,6,21,19
1459343_1931557_configuration.json,59,0.0,0.0,0.0,255.00000250739572,0.10399985313415527,17,13,19
1459343_1931561_configuration.json,59,0.0,0.0,0.0,0.0,0.08100008964538574,0,2,19
1459343_1931565_configuration.json,45,0.0,0.0,0.0,270.0000026548896,0.18900012969970703,18,41,19
1459343_1931569_configuration.json,57,0.0,0.0,0.0,480.0000047198042,0.18900012969970703,32,108,19
1830188_1866121_configuration.json,56,0.0,0.0,0.0,1245.0000122419926,0.12299990653991699,83,9,19
1830188_1866123_configuration.json,45,0.0,0.0,0.0,2580.000025368941,0.18000006675720215,172,55,19
1830188_1866127_configuration.json,59,0.0,0.0,0.0,0.0,0.08799982070922852,0,4,19
1830188_2181472_configuration.json,45,0.0,0.0,0.0,960.0000094396087,0.15799999237060547,64,35,19
1830188_2181475_configuration.json,45,0.0,0.0,0.0,1140.0000112095354,0.14499998092651367,76,28,19
65016_1521529_configuration.json,45,0.0,0.0,0.0,1740.000017109291,0.18199992179870605,116,49,19
65016_1522066_configuration.json,59,0.0,0.0,0.0,555.0000054572736,0.1700000762939453,37,81,19
65019_73796_configuration.json,45,0.0,0.0,0.0,450.0000044248166,0.19700002670288086,30,104,19
65019_74430_configuration.json,45,0.0,0.0,0.0,1740.000017109291,0.14400005340576172,116,23,19
65019_74469_configuration.json,59,0.0,0.0,0.0,1065.000010472066,0.12899994850158691,71,15,19
65019_74478_configuration.json,59,0.0,0.0,0.0,780.000007669682,0.17499995231628418,52,64,19
65019_74559_configuration.json,59,0.0,0.0,0.0,300.0000029498774,0.10100007057189941,20,4,19
65019_74572_configuration.json,45,0.0,0.0,0.0,1275.0000125369804,0.15199995040893555,85,43,19
65025_78203_configuration.json,45,0.0,0.0,0.0,1320.000012979462,0.1510000228881836,88,40,19
65025_80008_configuration.json,45,0.0,0.0,0.0,1080.0000106195598,0.16700005531311035,72,72,19
65025_80035_configuration.json,59,0.0,0.0,0.0,675.0000066372247,0.18899989128112793,45,20,19
65025_80069_configuration.json,57,0.0,0.0,0.0,1230.0000120944987,0.1679999828338623,82,44,19
65025_80091_configuration.json,57,0.0,0.0,0.0,1200.000011799511,0.23399996757507324,80,131,19
65025_80123_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.0989999771118164,1,5,19
65028_84566_configuration.json,45,0.0,0.0,0.0,1875.0000184367361,0.15799999237060547,125,37,19
65028_84569_configuration.json,44,0.0,0.0,0.0,1755.000017256785,0.24600005149841309,117,129,19
65028_84571_configuration.json,57,0.0,0.0,0.0,270.0000026548896,0.14299988746643066,18,41,19
65028_84579_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.0989999771118164,1,3,19
65031_77802_configuration.json,56,0.0,0.0,0.0,465.0000045723102,0.1830000877380371,31,29,19
65031_77832_configuration.json,44,0.0,0.0,0.0,1440.0000141594132,0.19099998474121094,96,85,19
65031_77873_configuration.json,59,0.0,0.0,0.0,0.0,0.08500003814697266,0,2,19
65031_77879_configuration.json,59,0.0,0.0,0.0,435.00000427732243,0.10500001907348633,29,11,19
65034_82001_configuration.json,59,0.0,0.0,0.0,1200.000011799511,0.125,80,16,19
65034_82007_configuration.json,46,0.0,0.0,0.0,1365.0000134219438,0.13199996948242188,91,22,19
65034_82068_configuration.json,59,0.0,0.0,0.0,450.0000044248163,0.11400008201599121,30,15,19
65034_82077_configuration.json,57,0.0,0.0,0.0,1020.0000100295842,0.11699986457824707,68,17,19
65034_82079_configuration.json,59,0.0,0.0,0.0,480.0000047198041,0.10299992561340332,32,6,19
65037_1423398_configuration.json,59,0.0,0.0,0.0,405.00000398233465,0.1530001163482666,27,14,19
65037_1423400_configuration.json,57,0.0,0.0,0.0,525.0000051622858,0.1359999179840088,35,14,19
65037_74263_configuration.json,57,0.0,0.0,0.0,1170.0000115045232,0.14400005340576172,78,22,19
65037_74313_configuration.json,56,0.0,0.0,0.0,780.000007669682,0.12199997901916504,52,11,19
65037_74315_configuration.json,57,0.0,0.0,0.0,780.000007669682,0.1359999179840088,52,18,19
65040_74234_configuration.json,45,0.0,0.0,0.0,1530.0000150443766,0.1770000457763672,102,21,19
65040_74239_configuration.json,57,0.0,0.0,0.0,1305.0000128319682,0.16000008583068848,87,13,19
65040_74253_configuration.json,57,0.0,0.0,0.0,1260.0000123894865,0.13199996948242188,84,13,19
65043_775431_configuration.json,45,0.0,0.0,0.0,1200.000011799511,0.18199992179870605,80,17,19
65043_775433_configuration.json,45,0.0,0.0,0.0,1800.0000176992667,0.1420001983642578,120,24,19
65043_775435_configuration.json,59,0.0,0.0,0.0,570.0000056047675,0.10900020599365234,38,12,19
65043_775437_configuration.json,59,0.0,0.0,0.0,1590.0000156343522,0.127000093460083,106,14,19
65043_775439_configuration.json,45,0.0,0.0,0.0,1740.000017109291,0.14300012588500977,116,20,19
65046_78243_configuration.json,59,0.0,0.0,0.0,420.00000412982854,0.09800004959106445,28,3,19
65046_78750_configuration.json,57,0.0,0.0,0.0,810.0000079646697,0.11100006103515625,54,9,19
65046_78754_configuration.json,59,0.0,0.0,0.0,1200.000011799511,0.12000012397766113,80,12,19
65046_82752_configuration.json,45,0.0,0.0,0.0,1620.00001592934,0.14999985694885254,108,17,19
65046_82774_configuration.json,45,0.0,0.0,0.0,1395.0000137169316,0.15000009536743164,93,49,19
65049_2366486_configuration.json,59,0.0,0.0,0.0,225.000002212408,0.1549999713897705,15,3,19
65049_2366490_configuration.json,59,0.0,0.0,0.0,240.00000235990186,0.10899996757507324,16,3,19
65049_2366492_configuration.json,59,0.0,0.0,0.0,270.0000026548896,0.10000014305114746,18,3,19
65049_2366494_configuration.json,59,0.0,0.0,0.0,270.0000026548896,0.12000012397766113,18,3,19
65049_2366496_configuration.json,59,0.0,0.0,0.0,0.0,0.09999990463256836,0,3,19
65049_2366498_configuration.json,59,0.0,0.0,0.0,0.0,0.09999990463256836,0,2,19
65049_775467_configuration.json,45,0.0,0.0,0.0,1335.000013126956,0.1699998378753662,89,25,19
65052_1405056_configuration.json,45,0.0,0.0,0.0,1140.0000112095354,0.15400004386901855,76,21,19
65052_1405061_configuration.json,45,0.0,0.0,0.0,1110.0000109145476,0.1490001678466797,74,21,19
65052_1405063_configuration.json,59,0.0,0.0,0.0,1140.0000112095354,0.18400001525878906,76,16,19
65052_1405067_configuration.json,45,0.0,0.0,0.0,1320.000012979462,0.13699984550476074,88,20,19
65052_1405069_configuration.json,57,0.0,0.0,0.0,1020.0000100295842,0.16699981689453125,68,16,19
65052_1405071_configuration.json,59,0.0,0.0,0.0,0.0,0.17599987983703613,0,5,19
65052_1405075_configuration.json,45,0.0,0.0,0.0,1845.0000181417483,0.1770000457763672,123,22,19
65052_1405081_configuration.json,59,0.0,0.0,0.0,1515.0000148968827,0.24300003051757812,101,28,19
65068_80411_configuration.json,45,0.0,0.0,0.0,1275.0000125369804,0.22600007057189941,85,21,19
65068_80419_configuration.json,56,0.0,0.0,0.0,660.0000064897308,0.20199990272521973,44,8,19
65068_80425_configuration.json,59,0.0,0.0,0.0,975.0000095871026,0.2559998035430908,65,17,19
65068_80427_configuration.json,59,0.0,0.0,0.0,525.0000051622858,0.17399978637695312,35,7,19
65068_80431_configuration.json,45,0.0,0.0,0.0,1470.000014454401,0.18999981880187988,98,54,19
65068_80433_configuration.json,45,0.0,0.0,0.0,2115.0000207966373,0.18400001525878906,141,40,19
65068_80436_configuration.json,59,0.0,0.0,0.0,420.00000412982854,0.12100005149841309,28,8,19
65068_80444_configuration.json,57,0.0,0.0,0.0,945.0000092921148,0.14800000190734863,63,23,19
65068_80447_configuration.json,45,0.0,0.0,0.0,930.0000091446209,0.13299989700317383,62,10,19
65076_75317_configuration.json,57,0.0,0.0,0.0,1470.000014454401,0.15599989891052246,98,16,19
65076_75319_configuration.json,56,0.0,0.0,0.0,375.00000368734686,0.11700010299682617,25,7,19
65076_75329_configuration.json,59,0.0,0.0,0.0,765.0000075221881,0.12199997901916504,51,9,19
65076_75333_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.17299985885620117,1,5,19
65076_75337_configuration.json,59,0.0,0.0,0.0,30.00000029498774,0.12899994850158691,2,13,19
65076_75339_configuration.json,59,0.0,0.0,0.0,1095.0000107670537,0.15600013732910156,73,14,19
65079_1738338_configuration.json,59,0.0,0.0,0.0,195.00000191742026,0.1640000343322754,13,22,19
65079_2035824_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.13499999046325684,1,3,19
65079_77889_configuration.json,59,0.0,0.0,0.0,300.0000029498774,0.15600013732910156,20,14,19
65079_77893_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.13300013542175293,1,3,19
65079_77895_configuration.json,57,0.0,0.0,0.0,660.0000064897308,0.20000004768371582,44,35,19
65079_77899_configuration.json,59,0.0,0.0,0.0,15.00000014749387,0.11899995803833008,1,3,19
65079_77921_configuration.json,59,0.0,0.0,0.0,420.00000412982854,0.1940000057220459,28,18,19
65079_77940_configuration.json,45,0.0,0.0,0.0,2235.0000219765866,0.247999906539917,149,99,19
65082_80172_configuration.json,57,0.0,0.0,0.0,1290.0000126844743,0.14800000190734863,86,16,19
65082_80175_configuration.json,45,0.0,0.0,0.0,840.0000082596575,0.21499991416931152,56,87,19
65082_80178_configuration.json,57,0.0,0.0,0.0,1215.0000119470049,0.1529998779296875,81,17,19
65082_80180_configuration.json,59,0.0,0.0,0.0,660.0000064897308,0.12599992752075195,44,6,19
65082_80182_configuration.json,59,0.0,0.0,0.0,255.00000250739572,0.11800003051757812,17,10,19
65082_80184_configuration.json,44,0.0,0.0,0.0,2640.0000259589156,0.18400001525878906,176,29,19
65082_80188_configuration.json,57,0.0,0.0,0.0,1440.0000141594132,0.14300012588500977,96,18,19
86315_785378_configuration.json,59,0.0,0.0,0.0,465.0000045723102,0.20399999618530273,31,15,19
86315_785381_configuration.json,44,0.0,0.0,0.0,3300.000032448637,0.22600007057189941,220,58,19
86315_785383_configuration.json,57,0.0,0.0,0.0,330.0000032448652,0.15799999237060547,22,40,19
86315_785386_configuration.json,59,0.0,0.0,0.0,180.0000017699264,0.13700008392333984,12,8,19
86315_785393_configuration.json,59,0.0,0.0,0.0,375.00000368734686,0.12899994850158691,25,9,19
86315_785396_configuration.json,59,0.0,0.0,0.0,390.00000383484075,0.15600013732910156,26,18,19
